"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"pygnut",NA,"1972","Sitta pygmaea","Pygmy Nuthatch",2023,26471
"bnhnut",NA,"5362","Sitta pusilla","Brown-headed Nuthatch",2023,26479
"rebnut",NA,"44493","Sitta canadensis","Red-breasted Nuthatch",2023,26484
"nuthat1",NA,"2","Sitta sp.","nuthatch sp.",2023,26546
"brncre",NA,"18490","Certhia americana","Brown Creeper",2023,26564
"buggna",NA,"1360","Polioptila caerulea","Blue-gray Gnatcatcher",2023,26669
"buggna1","buggna","13","Polioptila caerulea caerulea","Blue-gray Gnatcatcher (caerulea)",2023,26677
"bktgna",NA,"73","Polioptila melanura","Black-tailed Gnatcatcher",2023,26679
"calgna",NA,"6","Polioptila californica","California Gnatcatcher",2023,26683
"bkcgna",NA,"4","Polioptila nigriceps","Black-capped Gnatcatcher",2023,26687
"rocwre",NA,"130","Salpinctes obsoletus","Rock Wren",2023,26696
"rocwre1","rocwre","1","Salpinctes obsoletus [obsoletus Group]","Rock Wren (Northern)",2023,26697
"canwre",NA,"89","Catherpes mexicanus","Canyon Wren",2023,26730
"houwre",NA,"3109","Troglodytes aedon","House Wren",2023,26737
"houwre1","houwre","73","Troglodytes aedon [aedon Group]","House Wren (Northern)",2023,26738
"houwre4","houwre","3","Troglodytes aedon [musculus Group]","House Wren (Southern)",2023,26754
"pacwre1",NA,"889","Troglodytes pacificus","Pacific Wren",2023,26828
"winwre2","pacwre1","5","Troglodytes pacificus [pacificus Group]","Pacific Wren (pacificus Group)",2023,26838
"winwre3",NA,"1595","Troglodytes hiemalis","Winter Wren",2023,26844
"winwre",NA,"148","Troglodytes pacificus/hiemalis","Pacific/Winter Wren",2023,26847
"sedwre1",NA,"2","Cistothorus stellaris","Sedge Wren",2023,26852
"marwre",NA,"32","Cistothorus palustris","Marsh Wren",2023,26878
"marwre1","marwre","1","Cistothorus palustris [paludicola Group]","Marsh Wren (paludicola Group)",2023,26879
"marwre2","marwre","1","Cistothorus palustris [plesius Group]","Marsh Wren (plesius Group)",2023,26884
"marwre3","marwre","2","Cistothorus palustris [palustris Group]","Marsh Wren (palustris Group)",2023,26888
"carwre",NA,"40476","Thryothorus ludovicianus","Carolina Wren",2023,26897
"carwre1","carwre","1","Thryothorus ludovicianus [ludovicianus Group]","Carolina Wren (Northern)",2023,26898
"bewwre",NA,"5887","Thryomanes bewickii","Bewick's Wren",2023,26911
"bewwre3","bewwre","1","Thryomanes bewickii bewickii","Bewick's Wren (bewickii)",2023,26912
"bewwre1","bewwre","2","Thryomanes bewickii [spilurus Group]","Bewick's Wren (spilurus Group)",2023,26919
"spowre1",NA,"2","Campylorhynchus gularis","Spotted Wren",2023,26954
"cacwre",NA,"1160","Campylorhynchus brunneicapillus","Cactus Wren",2023,26957
"hapwre1",NA,"1","Pheugopedius felix","Happy Wren",2023,27047
"sinwre1",NA,"1","Thryophilus sinaloa","Sinaloa Wren",2023,27056
"wren1",NA,"30","Troglodytidae sp.","wren sp.",2023,27192
"amedip",NA,"21","Cinclus mexicanus","American Dipper",2023,27214
"hilmyn",NA,"1","Gracula religiosa","Common Hill Myna",2023,27343
"eursta",NA,"60893","Sturnus vulgaris","European Starling",2023,27356
"commyn",NA,"23","Acridotheres tristis","Common Myna",2023,27402
"supsta1",NA,"1","Lamprotornis superbus","Superb Starling",2023,27505
"blumoc",NA,"2","Melanotis caerulescens","Blue Mockingbird",2023,27534
"grycat",NA,"4254","Dumetella carolinensis","Gray Catbird",2023,27539
"cubthr",NA,"1292","Toxostoma curvirostre","Curve-billed Thrasher",2023,27564
"brnthr",NA,"10315","Toxostoma rufum","Brown Thrasher",2023,27577
"lobthr",NA,"47","Toxostoma longirostre","Long-billed Thrasher",2023,27580
"benthr",NA,"66","Toxostoma bendirei","Bendire's Thrasher",2023,27586
"y00330",NA,"1","Toxostoma curvirostre/bendirei","Curve-billed/Bendire's Thrasher",2023,27590
"calthr",NA,"495","Toxostoma redivivum","California Thrasher",2023,27594
"lecthr",NA,"9","Toxostoma lecontei","LeConte's Thrasher",2023,27597
"crithr",NA,"124","Toxostoma crissale","Crissal Thrasher",2023,27602
"sagthr",NA,"84","Oreoscoptes montanus","Sage Thrasher",2023,27609
"bahmoc",NA,"1","Mimus gundlachii","Bahama Mockingbird",2023,27620
"lotmoc1",NA,"1","Mimus longicaudatus","Long-tailed Mockingbird",2023,27633
"normoc",NA,"27561","Mimus polyglottos","Northern Mockingbird",2023,27652
"easblu",NA,"22178","Sialia sialis","Eastern Bluebird",2023,27662
"easblu1","easblu","2","Sialia sialis sialis/bermudensis","Eastern Bluebird (Eastern)",2023,27663
"wesblu",NA,"1764","Sialia mexicana","Western Bluebird",2023,27672
"moublu",NA,"468","Sialia currucoides","Mountain Bluebird",2023,27680
"bluebi",NA,"14","Sialia sp.","bluebird sp.",2023,27683
"towsol",NA,"1593","Myadestes townsendi","Townsend's Solitaire",2023,27698
"varthr",NA,"5424","Ixoreus naevius","Varied Thrush",2023,27788
"obnthr1",NA,"1","Catharus aurantiirostris","Orange-billed Nightingale-Thrush",2023,27795
"veery",NA,"68","Catharus fuscescens","Veery",2023,27846
"gycthr",NA,"10","Catharus minimus","Gray-cheeked Thrush",2023,27851
"bicthr",NA,"6","Catharus bicknelli","Bicknell's Thrush",2023,27854
"swathr",NA,"256","Catharus ustulatus","Swainson's Thrush",2023,27857
"swathr2","swathr","1","Catharus ustulatus [swainsoni Group]","Swainson's Thrush (Olive-backed)",2023,27862
"herthr",NA,"8220","Catharus guttatus","Hermit Thrush",2023,27866
"herthr3","herthr","30","Catharus guttatus faxoni/crymophilus","Hermit Thrush (faxoni/crymophilus)",2023,27876
"cathus",NA,"5","Catharus sp.","Catharus sp.",2023,27879
"woothr",NA,"575","Hylocichla mustelina","Wood Thrush",2023,27880
"misthr1",NA,"1","Turdus viscivorus","Mistle Thrush",2023,27962
"redwin",NA,"2","Turdus iliacus","Redwing",2023,27981
"eurbla",NA,"3","Turdus merula","Eurasian Blackbird",2023,27987
"whtrob1",NA,"1","Turdus assimilis","White-throated Thrush",2023,28016
"clcrob",NA,"23","Turdus grayi","Clay-colored Thrush",2023,28042
"amerob",NA,"65129","Turdus migratorius","American Robin",2023,28096
"amerob3","amerob","3","Turdus migratorius nigrideus","American Robin (nigrideus)",2023,28097
"amerob1","amerob","26","Turdus migratorius [migratorius Group]","American Robin (migratorius Group)",2023,28098
"rubrob",NA,"7","Turdus rufopalliatus","Rufous-backed Robin",2023,28106
"rubrob1","rubrob","2","Turdus rufopalliatus rufopalliatus","Rufous-backed Robin (Rufous-backed)",2023,28107
"fieldf",NA,"5","Turdus pilaris","Fieldfare",2023,28272
"dusthr2",NA,"1","Turdus eunomus","Dusky Thrush",2023,28285
"thrush1",NA,"33","Turdidae sp.","thrush sp.",2023,28290
"whrsha",NA,"3","Copsychus malabaricus","White-rumped Shama",2023,28518
"eurrob1",NA,"4","Erithacus rubecula","European Robin",2023,28756
"bohwax",NA,"2814","Bombycilla garrulus","Bohemian Waxwing",2023,29382
"cedwax",NA,"18069","Bombycilla cedrorum","Cedar Waxwing",2023,29386
"waxwin",NA,"7","Bombycilla garrulus/cedrorum","Bohemian/Cedar Waxwing",2023,29387
"grsfly1",NA,"3","Ptiliogonys cinereus","Gray Silky-flycatcher",2023,29400
"phaino",NA,"298","Phainopepla nitens","Phainopepla",2023,29406
"oliwar",NA,"1","Peucedramus taeniatus","Olive Warbler",2023,30181
"orabis1",NA,"7","Euplectes franciscanus","Northern Red Bishop",2023,30428
"redbis",NA,"1","Euplectes orix","Southern Red Bishop",2023,30429
"zebfin1","zebfin2","1","Taeniopygia guttata guttata","Zebra Finch (Lesser Sundas)",2023,30519
"broman1",NA,"6","Spermestes cucullata","Bronze Mannikin",2023,30533
"afrsil1",NA,"2","Euodice cantans","African Silverbill",2023,30545
"javspa",NA,"19","Padda oryzivora","Java Sparrow",2023,30549
"nutman",NA,"284","Lonchura punctulata","Scaly-breasted Munia",2023,30559
"chemun",NA,"2","Lonchura atricapilla","Chestnut Munia",2023,30600
"orcwax",NA,"1","Estrilda melpoda","Orange-cheeked Waxbill",2023,30774
"comwax",NA,"5","Estrilda astrild","Common Waxbill",2023,30784
"redava",NA,"2","Amandava amandava","Red Avadavat",2023,30837
"bubcor1",NA,"1","Uraeginthus angolensis","Southern Cordonbleu",2023,30844
"rebfir2",NA,"1","Lagonosticta senegala","Red-billed Firefinch",2023,30893
"pitwhy",NA,"18","Vidua macroura","Pin-tailed Whydah",2023,30927
"sibacc",NA,"1","Prunella montanella","Siberian Accentor",2023,30981
"houspa",NA,"66831","Passer domesticus","House Sparrow",2023,31018
"eutspa",NA,"765","Passer montanus","Eurasian Tree Sparrow",2023,31086
"x00754",NA,"3","Passer domesticus x montanus","House x Eurasian Tree Sparrow (hybrid)",2023,31096
"y00597",NA,"1","Motacilla flava/tschutschensis","Western/Eastern Yellow Wagtail",2023,31188
"watpip1",NA,"1","Anthus spinoletta","Water Pipit",2023,31350
"amepip",NA,"98","Anthus rubescens","American Pipit",2023,31361
"amepip2","amepip","2","Anthus rubescens [rubescens Group]","American Pipit (rubescens Group)",2023,31363
"sprpip",NA,"1","Anthus spragueii","Sprague's Pipit",2023,31368
"pipit1",NA,"1","Anthus sp.","pipit sp.",2023,31406
"comcha",NA,"4","Fringilla coelebs","Common Chaffinch",2023,31427
"brambl",NA,"15","Fringilla montifringilla","Brambling",2023,31453
"evegro",NA,"13082","Coccothraustes vespertinus","Evening Grosbeak",2023,31563
"hawfin",NA,"1","Coccothraustes coccothraustes","Hawfinch",2023,31572
"comros",NA,"2","Carpodacus erythrinus","Common Rosefinch",2023,31627
"pingro",NA,"5535","Pinicola enucleator","Pine Grosbeak",2023,31701
"gcrfin",NA,"318","Leucosticte tephrocotis","Gray-crowned Rosy-Finch",2023,31776
"gycrof4","gcrfin","2","Leucosticte tephrocotis [tephrocotis Group]","Gray-crowned Rosy-Finch (Gray-crowned)",2023,31780
"bkrfin",NA,"84","Leucosticte atrata","Black Rosy-Finch",2023,31786
"bcrfin",NA,"39","Leucosticte australis","Brown-capped Rosy-Finch",2023,31788
"rosfin",NA,"909","Leucosticte sp.","rosy-finch sp.",2023,31789
"houfin",NA,"80782","Haemorhous mexicanus","House Finch",2023,31790
"purfin",NA,"45129","Haemorhous purpureus","Purple Finch",2023,31804
"purfin1","purfin","1","Haemorhous purpureus purpureus","Purple Finch (Eastern)",2023,31805
"purfin2","purfin","4","Haemorhous purpureus californicus","Purple Finch (Western)",2023,31806
"y00338",NA,"60","Haemorhous mexicanus/purpureus","House/Purple Finch",2023,31808
"casfin",NA,"3880","Haemorhous cassinii","Cassin's Finch",2023,31809
"eurgre1",NA,"4","Chloris chloris","European Greenfinch",2023,31816
"yefcan",NA,"9","Crithagra mozambica","Yellow-fronted Canary",2023,31846
"comred",NA,"19870","Acanthis flammea","Common Redpoll",2023,31962
"comred3","comred","2","Acanthis flammea flammea","Common Redpoll (flammea)",2023,31963
"hoared",NA,"3495","Acanthis hornemanni","Hoary Redpoll",2023,31969
"x00625",NA,"3","Acanthis flammea x hornemanni","Common x Hoary Redpoll (hybrid)",2023,31972
"redpol",NA,"46","Acanthis flammea/hornemanni","Common/Hoary Redpoll",2023,31973
"redcro",NA,"1813","Loxia curvirostra","Red Crossbill",2023,31977
"redcro1","redcro","1","Loxia curvirostra (type 1)","Red Crossbill (Appalachian or type 1)",2023,32005
"whwcro",NA,"1333","Loxia leucoptera","White-winged Crossbill",2023,32020
"crossb",NA,"9","Loxia sp.","crossbill sp.",2023,32023
"eurgol",NA,"91","Carduelis carduelis","European Goldfinch",2023,32031
"comcan",NA,"1","Serinus canaria","Island Canary",2023,32052
"islcan1","comcan","2","Serinus canaria (Domestic type)","Island Canary (Domestic type)",2023,32053
"canary1",NA,"1","Serinus sp.","Serinus sp.",2023,32070
"pinsis",NA,"37468","Spinus pinus","Pine Siskin",2023,32073
"blhsis1",NA,"1","Spinus notatus","Black-headed Siskin",2023,32082
"lesgol",NA,"7898","Spinus psaltria","Lesser Goldfinch",2023,32087
"lawgol",NA,"429","Spinus lawrencei","Lawrence's Goldfinch",2023,32094
"amegfi",NA,"78118","Spinus tristis","American Goldfinch",2023,32095
"goldfi",NA,"24","Spinus sp. (goldfinch sp.)","new world goldfinch sp.",2023,32103
"spinus1",NA,"1","Spinus sp.","Spinus sp.",2023,32134
"y00631",NA,"1","Acanthis/Spinus sp.","Acanthis/Spinus sp.",2023,32135
"finch1",NA,"7","Fringillidae sp.","finch sp.",2023,32136
"laplon",NA,"113","Calcarius lapponicus","Lapland Longspur",2023,32138
"chclon",NA,"3","Calcarius ornatus","Chestnut-collared Longspur",2023,32142
"smilon",NA,"4","Calcarius pictus","Smith's Longspur",2023,32143
"mcclon",NA,"3","Rhynchophanes mccownii","Thick-billed Longspur",2023,32144
"snobun",NA,"2820","Plectrophenax nivalis","Snow Bunting",2023,32146
"mckbun",NA,"2","Plectrophenax hyperboreus","McKay's Bunting",2023,32152
"yebbun",NA,"1","Emberiza aureola","Yellow-breasted Bunting",2023,32298
"rusbun",NA,"6","Emberiza rustica","Rustic Bunting",2023,32302
"grybun",NA,"1","Emberiza variabilis","Gray Bunting",2023,32314
"ruwspa",NA,"52","Peucaea carpalis","Rufous-winged Sparrow",2023,32381
"botspa",NA,"2","Peucaea botterii","Botteri's Sparrow",2023,32394
"casspa",NA,"17","Peucaea cassinii","Cassin's Sparrow",2023,32406
"bacspa",NA,"18","Peucaea aestivalis","Bachman's Sparrow",2023,32408
"graspa",NA,"51","Ammodramus savannarum","Grasshopper Sparrow",2023,32413
"olispa",NA,"24","Arremonops rufivirgatus","Olive Sparrow",2023,32436
"chispa",NA,"29996","Spizella passerina","Chipping Sparrow",2023,32460
"clcspa",NA,"280","Spizella pallida","Clay-colored Sparrow",2023,32466
"x00198",NA,"1","Spizella passerina x pallida","Chipping x Clay-colored Sparrow (hybrid)",2023,32467
"bkcspa",NA,"47","Spizella atrogularis","Black-chinned Sparrow",2023,32468
"fiespa",NA,"8725","Spizella pusilla","Field Sparrow",2023,32473
"brespa",NA,"139","Spizella breweri","Brewer's Sparrow",2023,32478
"x00201",NA,"1","Spizella atrogularis x breweri","Black-chinned x Brewer's Sparrow (hybrid)",2023,32482
"bktspa",NA,"770","Amphispiza bilineata","Black-throated Sparrow",2023,32489
"larspa",NA,"715","Chondestes grammacus","Lark Sparrow",2023,32500
"larbun",NA,"84","Calamospiza melanocorys","Lark Bunting",2023,32503
"amtspa",NA,"31127","Spizelloides arborea","American Tree Sparrow",2023,32567
"foxspa",NA,"20146","Passerella iliaca","Fox Sparrow",2023,32571
"foxsp2","foxspa","58","Passerella iliaca [unalaschcensis Group]","Fox Sparrow (Sooty)",2023,32572
"foxsp4","foxspa","1","Passerella iliaca [megarhyncha Group]","Fox Sparrow (Thick-billed)",2023,32580
"foxsp3","foxspa","27","Passerella iliaca [schistacea Group]","Fox Sparrow (Slate-colored)",2023,32586
"foxsp1","foxspa","91","Passerella iliaca iliaca/zaboria","Fox Sparrow (Red)",2023,32592
"daejun",NA,"88875","Junco hyemalis","Dark-eyed Junco",2023,32595
"slcjun","daejun","1404","Junco hyemalis hyemalis/carolinensis","Dark-eyed Junco (Slate-colored)",2023,32597
"daejun1","daejun","72","Junco hyemalis cismontanus","Dark-eyed Junco (cismontanus)",2023,32600
"orejun","daejun","1240","Junco hyemalis [oreganus Group]","Dark-eyed Junco (Oregon)",2023,32601
"pisjun","daejun","284","Junco hyemalis mearnsi","Dark-eyed Junco (Pink-sided)",2023,32609
"whwjun","daejun","63","Junco hyemalis aikeni","Dark-eyed Junco (White-winged)",2023,32611
"gyhjun","daejun","178","Junco hyemalis caniceps","Dark-eyed Junco (Gray-headed)",2023,32613
"daejun8","daejun","25","Junco hyemalis [oreganus Group] x caniceps","Dark-eyed Junco (Oregon x Gray-headed)",2023,32614
"daejun4","daejun","21","Junco hyemalis mearnsi x caniceps","Dark-eyed Junco (Pink-sided x Gray-headed)",2023,32615
"rebjun1","daejun","22","Junco hyemalis dorsalis","Dark-eyed Junco (Red-backed)",2023,32616
"yeejun",NA,"31","Junco phaeonotus","Yellow-eyed Junco",2023,32619
"y00333",NA,"4","Junco hyemalis/phaeonotus","Dark-eyed/Yellow-eyed Junco",2023,32626
"whcspa",NA,"25240","Zonotrichia leucophrys","White-crowned Sparrow",2023,32658
"ewcspa1","whcspa","1","Zonotrichia leucophrys leucophrys","White-crowned Sparrow (leucophrys)",2023,32660
"gwcspa","whcspa","8","Zonotrichia leucophrys gambelii","White-crowned Sparrow (Gambel's)",2023,32662
"whcspa3","whcspa","1","Zonotrichia leucophrys nuttalli/pugetensis","White-crowned Sparrow (Yellow-billed)",2023,32663
"nwcspa","whcspa","1","Zonotrichia leucophrys nuttalli","White-crowned Sparrow (nuttalli)",2023,32664
"pswspa1","whcspa","1","Zonotrichia leucophrys pugetensis","White-crowned Sparrow (pugetensis)",2023,32665
"gocspa",NA,"5727","Zonotrichia atricapilla","Golden-crowned Sparrow",2023,32667
"x00053",NA,"1","Zonotrichia leucophrys x atricapilla","White-crowned x Golden-crowned Sparrow (hybrid)",2023,32668
"harspa",NA,"2477","Zonotrichia querula","Harris's Sparrow",2023,32669
"whtspa",NA,"42230","Zonotrichia albicollis","White-throated Sparrow",2023,32672
"x00720",NA,"2","Zonotrichia atricapilla x albicollis","Golden-crowned x White-throated Sparrow (hybrid)",2023,32674
"x00039",NA,"16","Junco hyemalis x Zonotrichia albicollis","Dark-eyed Junco x White-throated Sparrow (hybrid)",2023,32675
"y00332",NA,"4","Zonotrichia leucophrys/albicollis","White-crowned/White-throated Sparrow",2023,32676
"sagspa1",NA,"20","Artemisiospiza nevadensis","Sagebrush Sparrow",2023,32678
"belspa2",NA,"2","Artemisiospiza belli","Bell's Sparrow",2023,32679
"sagspa",NA,"20","Artemisiospiza nevadensis/belli","Sagebrush/Bell's Sparrow (Sage Sparrow)",2023,32684
"vesspa",NA,"259","Pooecetes gramineus","Vesper Sparrow",2023,32688
"lecspa",NA,"14","Ammospiza leconteii","LeConte's Sparrow",2023,32692
"seaspa",NA,"13","Ammospiza maritima","Seaside Sparrow",2023,32693
"nstspa",NA,"2","Ammospiza nelsoni","Nelson's Sparrow",2023,32703
"nstspa2","nstspa","1","Ammospiza nelsoni subvirgata","Nelson's Sparrow (Atlantic Coast)",2023,32707
"shtspa",NA,"3","Ammospiza nelsoni/caudacuta","Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow)",2023,32713
"savspa",NA,"1273","Passerculus sandwichensis","Savannah Sparrow",2023,32715
"savspa4","savspa","21","Passerculus sandwichensis [sandwichensis Group]","Savannah Sparrow (Savannah)",2023,32716
"ipsspa","savspa","26","Passerculus sandwichensis princeps","Savannah Sparrow (Ipswich)",2023,32730
"bldspa","savspa","13","Passerculus sandwichensis [guttatus Group]","Savannah Sparrow (Belding's)",2023,32731
"savspa3","savspa","1","Passerculus sandwichensis sanctorum","Savannah Sparrow (San Benito)",2023,32736
"labspa","savspa","3","Passerculus sandwichensis rostratus/atratus","Savannah Sparrow (Large-billed)",2023,32737
"baispa",NA,"3","Centronyx bairdii","Baird's Sparrow",2023,32741
"henspa",NA,"5","Centronyx henslowii","Henslow's Sparrow",2023,32743
"sonspa",NA,"49283","Melospiza melodia","Song Sparrow",2023,32748
"sonspa2","sonspa","8","Melospiza melodia melodia/atlantica","Song Sparrow (melodia/atlantica)",2023,32749
"linspa",NA,"1719","Melospiza lincolnii","Lincoln's Sparrow",2023,32781
"swaspa",NA,"757","Melospiza georgiana","Swamp Sparrow",2023,32786
"rcgspa1",NA,"1","Melozone kieneri","Rusty-crowned Ground-Sparrow",2023,32797
"cantow",NA,"938","Melozone fusca","Canyon Towhee",2023,32801
"whttow1",NA,"1","Melozone albicollis","White-throated Towhee",2023,32812
"abetow",NA,"501","Melozone aberti","Abert's Towhee",2023,32815
"y00331",NA,"92","Melozone fusca/aberti","Canyon/Abert's Towhee",2023,32820
"caltow",NA,"3781","Melozone crissalis","California Towhee",2023,32821
"rucspa",NA,"271","Aimophila ruficeps","Rufous-crowned Sparrow",2023,32845
"gnttow",NA,"248","Pipilo chlorurus","Green-tailed Towhee",2023,32859
"spotow",NA,"10498","Pipilo maculatus","Spotted Towhee",2023,32860
"spotow1","spotow","6","Pipilo maculatus [oregonus Group]","Spotted Towhee (oregonus Group)",2023,32861
"spotow2","spotow","3","Pipilo maculatus [maculatus Group]","Spotted Towhee (maculatus Group)",2023,32870
"eastow",NA,"14330","Pipilo erythrophthalmus","Eastern Towhee",2023,32888
"eastow1","eastow","75","Pipilo erythrophthalmus erythrophthalmus/canaster","Eastern Towhee (Red-eyed)",2023,32889
"y00226",NA,"349","Pipilo maculatus/erythrophthalmus","Spotted/Eastern Towhee (Rufous-sided Towhee)",2023,32896
"towhee1",NA,"7","Melozone/Pipilo sp.","towhee sp.",2023,32905
"yegfin1",NA,"1","Atlapetes luteoviridis","Yellow-green Brushfinch",2023,32920
"sparro1",NA,"141","Passerellidae sp.","new world sparrow sp.",2023,32995
"yebcha",NA,"102","Icteria virens","Yellow-breasted Chat",2023,33035
"yebcha1","yebcha","3","Icteria virens virens","Yellow-breasted Chat (virens)",2023,33036
"yehbla",NA,"314","Xanthocephalus xanthocephalus","Yellow-headed Blackbird",2023,33039
"boboli",NA,"11","Dolichonyx oryzivorus","Bobolink",2023,33040
"wesmea",NA,"570","Sturnella neglecta","Western Meadowlark",2023,33041
"easmea",NA,"1035","Sturnella magna","Eastern Meadowlark",2023,33044
"easmea2","easmea","8","Sturnella magna [magna Group]","Eastern Meadowlark (Eastern)",2023,33046
"meadow",NA,"31","Sturnella neglecta/magna","Western/Eastern Meadowlark",2023,33062
"lilmea2",NA,"43","Sturnella lilianae","Chihuahuan Meadowlark",2023,33063
"y01183",NA,"3","Sturnella neglecta/lilianae","Western/Chihuahuan Meadowlark",2023,33067
"y01184",NA,"15","Sturnella magna/lilianae","Eastern/Chihuahuan Meadowlark",2023,33068
"stumea1",NA,"5","Sturnella sp.","Sturnella meadowlark sp.",2023,33069
"yewcac1",NA,"2","Cassiculus melanicterus","Yellow-winged Cacique",2023,33086
"bkvori",NA,"1","Icterus wagleri","Black-vented Oriole",2023,33146
"orcori",NA,"301","Icterus spurius","Orchard Oriole",2023,33153
"orcori2","orcori","1","Icterus spurius spurius","Orchard Oriole (Orchard)",2023,33154
"hooori",NA,"768","Icterus cucullatus","Hooded Oriole",2023,33156
"hooori1","hooori","1","Icterus cucullatus [nelsoni Group]","Hooded Oriole (nelsoni Group)",2023,33160
"y00488",NA,"5","Icterus spurius/cucullatus","Orchard/Hooded Oriole",2023,33165
"stbori",NA,"5","Icterus pustulatus","Streak-backed Oriole",2023,33198
"bulori",NA,"452","Icterus bullockii","Bullock's Oriole",2023,33210
"spbori",NA,"46","Icterus pectoralis","Spot-breasted Oriole",2023,33223
"altori",NA,"17","Icterus gularis","Altamira Oriole",2023,33226
"audori",NA,"26","Icterus graduacauda","Audubon's Oriole",2023,33233
"audori1","audori","1","Icterus graduacauda graduacauda/audubonii","Audubon's Oriole (Audubon's)",2023,33234
"balori",NA,"2396","Icterus galbula","Baltimore Oriole",2023,33241
"x00013",NA,"3","Icterus bullockii x galbula","Bullock's x Baltimore Oriole (hybrid)",2023,33242
"y00022",NA,"167","Icterus bullockii/galbula","Bullock's/Baltimore Oriole",2023,33243
"scoori",NA,"117","Icterus parisorum","Scott's Oriole",2023,33247
"oriole",NA,"12","Icterus sp.","new world oriole sp.",2023,33249
"rewbla",NA,"45163","Agelaius phoeniceus","Red-winged Blackbird",2023,33251
"rewbla1","rewbla","83","Agelaius phoeniceus [phoeniceus Group]","Red-winged Blackbird (Red-winged)",2023,33252
"rewbla2","rewbla","1","Agelaius phoeniceus californicus/mailliardorum","Red-winged Blackbird (California Bicolored)",2023,33274
"tribla",NA,"110","Agelaius tricolor","Tricolored Blackbird",2023,33281
"tasbla",NA,"1","Agelaius humeralis","Tawny-shouldered Blackbird",2023,33283
"shicow",NA,"21","Molothrus bonariensis","Shiny Cowbird",2023,33291
"brocow",NA,"170","Molothrus aeneus","Bronzed Cowbird",2023,33300
"bnhcow",NA,"36570","Molothrus ater","Brown-headed Cowbird",2023,33307
"y00336",NA,"12","Molothrus bonariensis/ater","Shiny/Brown-headed Cowbird",2023,33312
"y00337",NA,"28","Molothrus aeneus/ater","Bronzed/Brown-headed Cowbird",2023,33313
"rusbla",NA,"2160","Euphagus carolinus","Rusty Blackbird",2023,33322
"brebla",NA,"4139","Euphagus cyanocephalus","Brewer's Blackbird",2023,33325
"y00227",NA,"64","Euphagus carolinus/cyanocephalus","Rusty/Brewer's Blackbird",2023,33326
"comgra",NA,"44823","Quiscalus quiscula","Common Grackle",2023,33327
"comgra1","comgra","5","Quiscalus quiscula quiscula/stonei","Common Grackle (Florida/Purple)",2023,33328
"comgra2","comgra","1","Quiscalus quiscula versicolor","Common Grackle (Bronzed)",2023,33331
"botgra",NA,"2143","Quiscalus major","Boat-tailed Grackle",2023,33332
"botgra1","botgra","1","Quiscalus major major","Boat-tailed Grackle (major)",2023,33333
"botgra2","botgra","3","Quiscalus major torreyi/alabamensis","Boat-tailed Grackle (torreyi/alabamensis)",2023,33334
"grtgra",NA,"1766","Quiscalus mexicanus","Great-tailed Grackle",2023,33338
"grackl",NA,"14","Quiscalus sp.","grackle sp.",2023,33372
"oribla1",NA,"1","Gymnomystax mexicanus","Oriole Blackbird",2023,33380
"yewbla2",NA,"1","Agelasticus thilius","Yellow-winged Blackbird",2023,33404
"blackb",NA,"133","Icteridae sp.","blackbird sp.",2023,33417
"ovenbi1",NA,"275","Seiurus aurocapilla","Ovenbird",2023,33419
"woewar1",NA,"39","Helmitheros vermivorum","Worm-eating Warbler",2023,33423
"louwat",NA,"60","Parkesia motacilla","Louisiana Waterthrush",2023,33425
"norwat",NA,"14","Parkesia noveboracensis","Northern Waterthrush",2023,33426
"y00598",NA,"32","Parkesia motacilla/noveboracensis","Louisiana/Northern Waterthrush",2023,33427
"gowwar",NA,"6","Vermivora chrysoptera","Golden-winged Warbler",2023,33429
"buwwar",NA,"40","Vermivora cyanoptera","Blue-winged Warbler",2023,33430
"brewar",NA,"1","Vermivora chrysoptera x cyanoptera (F1 hybrid)","Brewster's Warbler (hybrid)",2023,33432
"bawwar",NA,"1069","Mniotilta varia","Black-and-white Warbler",2023,33435
"prowar",NA,"100","Protonotaria citrea","Prothonotary Warbler",2023,33436
"swawar",NA,"11","Limnothlypis swainsonii","Swainson's Warbler",2023,33437
"tenwar",NA,"100","Leiothlypis peregrina","Tennessee Warbler",2023,33445
"orcwar",NA,"3183","Leiothlypis celata","Orange-crowned Warbler",2023,33446
"orcwar1","orcwar","35","Leiothlypis celata celata","Orange-crowned Warbler (celata)",2023,33448
"orcwar3","orcwar","1","Leiothlypis celata lutescens","Orange-crowned Warbler (lutescens)",2023,33450
"lucwar",NA,"78","Leiothlypis luciae","Lucy's Warbler",2023,33453
"naswar",NA,"282","Leiothlypis ruficapilla","Nashville Warbler",2023,33454
"naswar1","naswar","2","Leiothlypis ruficapilla ruficapilla","Nashville Warbler (ruficapilla)",2023,33455
"naswar2","naswar","1","Leiothlypis ruficapilla ridgwayi","Nashville Warbler (ridgwayi)",2023,33456
"virwar",NA,"11","Leiothlypis virginiae","Virginia's Warbler",2023,33459
"conwar",NA,"4","Oporornis agilis","Connecticut Warbler",2023,33464
"gycyel",NA,"1","Geothlypis poliocephala","Gray-crowned Yellowthroat",2023,33465
"macwar",NA,"15","Geothlypis tolmiei","MacGillivray's Warbler",2023,33478
